date	value
2017-09-01	70.1
2017-10-01	70.1
2017-11-01	70.1
2017-12-01	70.1
2018-01-01	70.1
2018-02-01	72.71
2018-03-01	72.71
2018-04-01	72.71
2018-05-01	72.71
2018-06-01	72.71
2018-07-01	72.71
2018-08-01	72.71
2018-09-01	72.71
2018-10-01	72.71
2018-11-01	72.71
2018-12-01	72.71
2019-01-01	72.71
2019-02-01	76.74
2019-03-01	76.74
2019-04-01	76.74
2019-05-01	76.74
2019-06-01	76.74
2019-07-01	76.74
2019-08-01	76.74
2019-09-01	76.74
2019-10-01	76.74
2019-11-01	76.74
2019-12-01	76.74
2020-01-01	76.74
2020-02-01	80.14
2020-03-01	80.14
2020-04-01	80.14
2020-05-01	80.14
2020-06-01	80.14
2020-07-01	80.14
2020-08-01	80.14
2020-09-01	80.14
2020-10-01	80.14
2020-11-01	80.14
2020-12-01	80.14
2021-01-01	80.14
2021-02-01	81.73
2021-03-01	81.73
2021-04-01	81.73
2021-05-01	81.73
2021-06-01	81.73
2021-07-01	81.73
2021-08-01	81.73
2021-09-01	81.73
2021-10-01	81.73
2021-11-01	81.73
2021-12-01	81.73
2022-01-01	81.73
2022-02-01	84.28
2022-03-01	84.28
2022-04-01	84.28
2022-05-01	84.28
2022-06-01	84.28
2022-07-01	84.28
2022-08-01	84.28
2022-09-01	84.28
2022-10-01	84.28
2022-11-01	84.28
2022-12-01	84.28
2023-01-01	84.28
2023-02-01	87.96
2023-03-01	87.96
2023-04-01	87.96
2023-05-01	87.96
2023-06-01	87.96
2023-07-01	87.96
2023-08-01	87.96
2023-09-01	87.96
2023-10-01	87.96
2023-11-01	87.96
2023-12-01	87.96
2024-01-01	87.96
2024-02-01	93.97
2024-03-01	93.97
2024-04-01	93.97
2024-05-01	93.97
2024-06-01	93.97
2024-07-01	93.97
2024-08-01	93.97
2024-09-01	93.97
2024-10-01	93.97
2024-11-01	93.97
2024-12-01	93.97
2025-01-01	93.97
2025-02-01	100
2025-03-01	100
2025-04-01	100
2025-05-01	100
2025-06-01	100
2025-07-01	100
2025-08-01	100
2025-09-01	100
2025-10-01	100
