date	value
2017-09-01	
2017-10-01	
2017-11-01	
2017-12-01	
2018-01-01	
2018-02-01	
2018-03-01	
2018-04-01	
2018-05-01	
2018-06-01	
2018-07-01	
2018-08-01	
2018-09-01	
2018-10-01	
2018-11-01	
2018-12-01	
2019-01-01	
2019-02-01	
2019-03-01	
2019-04-01	
2019-05-01	
2019-06-01	
2019-07-01	
2019-08-01	
2019-09-01	
2019-10-01	
2019-11-01	
2019-12-01	
2020-01-01	
2020-02-01	
2020-03-01	
2020-04-01	
2020-05-01	
2020-06-01	
2020-07-01	
2020-08-01	
2020-09-01	
2020-10-01	
2020-11-01	
2020-12-01	
2021-01-01	
2021-02-01	
2021-03-01	
2021-04-01	
2021-05-01	
2021-06-01	
2021-07-01	
2021-08-01	
2021-09-01	
2021-10-01	
2021-11-01	
2021-12-01	
2022-01-01	
2022-02-01	
2022-03-01	
2022-04-01	
2022-05-01	
2022-06-01	
2022-07-01	
2022-08-01	
2022-09-01	
2022-10-01	
2022-11-01	
2022-12-01	
2023-01-01	
2023-02-01	
2023-03-01	
2023-04-01	
2023-05-01	
2023-06-01	
2023-07-01	
2023-08-01	
2023-09-01	
2023-10-01	
2023-11-01	
2023-12-01	
2024-01-01	
2024-02-01	
2024-03-01	
2024-04-01	1.01893
2024-05-01	1.0122
2024-06-01	1.00237
2024-07-01	0.99757
2024-08-01	0.99021
2024-09-01	0.9831
2024-10-01	0.9787
2024-11-01	0.9703
2024-12-01	0.96281
2025-01-01	1.0258
2025-02-01	1.02907
2025-03-01	1.02968
2025-04-01	1.01867
2025-05-01	1.01206
2025-06-01	1.00206
2025-07-01	0.99727
2025-08-01	0.99023
2025-09-01	0.98286
2025-10-01	0.97912
2025-11-01	0.97023
2025-12-01	0.96263
2026-01-01	1.02601
2026-02-01	1.02938
2026-03-01	1.02997
