date	value
2017-09-01	
2017-10-01	
2017-11-01	
2017-12-01	
2018-01-01	
2018-02-01	
2018-03-01	
2018-04-01	
2018-05-01	
2018-06-01	
2018-07-01	
2018-08-01	
2018-09-01	
2018-10-01	
2018-11-01	
2018-12-01	
2019-01-01	
2019-02-01	
2019-03-01	
2019-04-01	
2019-05-01	
2019-06-01	
2019-07-01	
2019-08-01	
2019-09-01	
2019-10-01	
2019-11-01	
2019-12-01	
2020-01-01	
2020-02-01	
2020-03-01	
2020-04-01	
2020-05-01	
2020-06-01	
2020-07-01	
2020-08-01	
2020-09-01	
2020-10-01	
2020-11-01	
2020-12-01	
2021-01-01	
2021-02-01	
2021-03-01	
2021-04-01	
2021-05-01	
2021-06-01	
2021-07-01	
2021-08-01	
2021-09-01	
2021-10-01	
2021-11-01	
2021-12-01	
2022-01-01	
2022-02-01	
2022-03-01	
2022-04-01	
2022-05-01	
2022-06-01	
2022-07-01	
2022-08-01	
2022-09-01	
2022-10-01	
2022-11-01	
2022-12-01	
2023-01-01	
2023-02-01	
2023-03-01	
2023-04-01	
2023-05-01	
2023-06-01	
2023-07-01	
2023-08-01	
2023-09-01	
2023-10-01	
2023-11-01	
2023-12-01	
2024-01-01	
2024-02-01	
2024-03-01	
2024-04-01	100
2024-05-01	100.14
2024-06-01	100.31
2024-07-01	100.82
2024-08-01	101.24
2024-09-01	100.87
2024-10-01	101.57
2024-11-01	101.78
2024-12-01	101.53
2025-01-01	101.8
2025-02-01	101.68
2025-03-01	101.26
2025-04-01	101.77
2025-05-01	101.54
2025-06-01	101.63
2025-07-01	102.58
2025-08-01	102.92
2025-09-01	102.61
2025-10-01	103.62
2025-11-01	102.98
2025-12-01	103.09
2026-01-01	103.18
2026-02-01	103.04
2026-03-01	102.69
2026-04-01	103.04
2026-05-01	103.27
2026-06-01	103.33
2026-07-01	104.18
