date	value
2017-09-01	
2017-10-01	
2017-11-01	
2017-12-01	
2018-01-01	
2018-02-01	
2018-03-01	
2018-04-01	
2018-05-01	
2018-06-01	
2018-07-01	
2018-08-01	
2018-09-01	
2018-10-01	
2018-11-01	
2018-12-01	
2019-01-01	
2019-02-01	
2019-03-01	
2019-04-01	
2019-05-01	
2019-06-01	
2019-07-01	
2019-08-01	
2019-09-01	
2019-10-01	
2019-11-01	
2019-12-01	
2020-01-01	
2020-02-01	
2020-03-01	
2020-04-01	
2020-05-01	
2020-06-01	
2020-07-01	
2020-08-01	
2020-09-01	
2020-10-01	
2020-11-01	
2020-12-01	
2021-01-01	
2021-02-01	
2021-03-01	
2021-04-01	
2021-05-01	
2021-06-01	
2021-07-01	
2021-08-01	
2021-09-01	
2021-10-01	82.27
2021-11-01	82.27
2021-12-01	83.17
2022-01-01	83.86
2022-02-01	83.86
2022-03-01	86.47
2022-04-01	86.47
2022-05-01	86.47
2022-06-01	87.3
2022-07-01	87.57
2022-08-01	87.57
2022-09-01	88.57
2022-10-01	88.57
2022-11-01	88.57
2022-12-01	88.57
2023-01-01	89.99
2023-02-01	89.99
2023-03-01	90.68
2023-04-01	92.32
2023-05-01	92.32
2023-06-01	92.32
2023-07-01	92.32
2023-08-01	92.6
2023-09-01	90.53
2023-10-01	90.15
2023-11-01	90.15
2023-12-01	90.48
2024-01-01	92.62
2024-02-01	92.62
2024-03-01	95.03
2024-04-01	91.23
2024-05-01	91.23
2024-06-01	92.77
2024-07-01	92.97
2024-08-01	93.76
2024-09-01	95.19
2024-10-01	93.67
2024-11-01	92.74
2024-12-01	95.03
2025-01-01	97.83
2025-02-01	95.78
2025-03-01	97.53
2025-04-01	97.4
2025-05-01	97.4
2025-06-01	97.93
2025-07-01	98.66
2025-08-01	99.17
2025-09-01	100
2025-10-01	102.75
2025-11-01	99.89
