date	value
1985-09-01	118.9
1985-12-01	120.1
1986-03-01	121
1986-06-01	120.1
1986-09-01	122.3
1986-12-01	119
1987-03-01	117.7
1987-06-01	116.1
1987-09-01	117.5
1987-12-01	116.1
1988-03-01	114.5
1988-06-01	114.7
1988-09-01	113.6
1988-12-01	115
1989-03-01	115.1
1989-06-01	112.7
1989-09-01	115.5
1989-12-01	114.5
1990-03-01	114.9
1990-06-01	116
1990-09-01	117.7
1990-12-01	115.2
1991-03-01	116.5
1991-06-01	115.6
1991-09-01	115.5
1991-12-01	116.9
1992-03-01	114.8
1992-06-01	115.6
1992-09-01	118.1
1992-12-01	115.8
1993-03-01	114.3
1993-06-01	114.1
1993-09-01	115.6
1993-12-01	113.8
1994-03-01	114.2
1994-06-01	115.6
1994-09-01	112.2
1994-12-01	113.3
1995-03-01	113.3
1995-06-01	113.4
1995-09-01	115.3
1995-12-01	114.8
1996-03-01	114.1
1996-06-01	113.5
1996-09-01	114.7
1996-12-01	115.4
1997-03-01	114
1997-06-01	114.4
1997-09-01	115.8
1997-12-01	112.8
1998-03-01	112.1
1998-06-01	113.2
1998-09-01	114.3
1998-12-01	113.9
1999-03-01	112.3
1999-06-01	113.6
1999-09-01	114.8
1999-12-01	113.4
2000-03-01	112.3
2000-06-01	111.4
2000-09-01	112.3
2000-12-01	114.8
2001-03-01	112.5
2001-06-01	113
2001-09-01	112.8
2001-12-01	112.6
2002-03-01	111
2002-06-01	111.1
2002-09-01	111.3
2002-12-01	110.8
2003-03-01	110.4
2003-06-01	111.1
2003-09-01	110.3
2003-12-01	110.8
2004-03-01	109.4
2004-06-01	109.5
2004-09-01	111.2
2004-12-01	110.7
2005-03-01	110.2
2005-06-01	108.8
2005-09-01	110
2005-12-01	108.3
2006-03-01	108.2
2006-06-01	108.2
2006-09-01	107.5
2006-12-01	108.3
2007-03-01	106.7
2007-06-01	108.4
2007-09-01	109.4
2007-12-01	108.7
2008-03-01	107.7
2008-06-01	107.7
2008-09-01	105.8
2008-12-01	105.5
2009-03-01	103.9
2009-06-01	105.3
2009-09-01	107.8
2009-12-01	106.2
2010-03-01	104.5
2010-06-01	104.3
2010-09-01	106.2
2010-12-01	106.2
2011-03-01	106
2011-06-01	105.4
2011-09-01	105.5
2011-12-01	105.8
2012-03-01	107.2
2012-06-01	106.5
2012-09-01	106.5
2012-12-01	106.9
2013-03-01	106
2013-06-01	106.2
2013-09-01	106.6
2013-12-01	105.8
2014-03-01	104.9
2014-06-01	106.5
2014-09-01	107.2
2014-12-01	107.1
2015-03-01	106.5
2015-06-01	108.4
2015-09-01	108.5
2015-12-01	108.9
2016-03-01	109
2016-06-01	108.1
2016-09-01	107.9
2016-12-01	104.3
2017-03-01	102.8
2017-06-01	104.7
2017-09-01	104.6
2017-12-01	105.6
2018-03-01	104.1
2018-06-01	103.7
2018-09-01	103.7
2018-12-01	103.7
2019-03-01	103
2019-06-01	103.5
2019-09-01	103.3
2019-12-01	104.6
2020-03-01	104.3
2020-06-01	95.4
2020-09-01	93.9
2020-12-01	100.3
2021-03-01	100.7
2021-06-01	101.3
2021-09-01	101.8
2021-12-01	101.8
2022-03-01	99
2022-06-01	97.4
2022-09-01	99.6
2022-12-01	99.6
2023-03-01	99.1
2023-06-01	102
2023-09-01	103.1
